position,thumbnail,source,title,link,original,filename,time
11,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32d3f32bda7c09e41bbb038bb1620e5de4618a3d5f2e00beb9.jpeg,pxhere.com,"Free Images : petal, summer, botany, flora, background, beautiful,  floristry, flower meadow, flowering plant, daisy family, yellow daisies,  oxeye daisy, daisy field, annual plant, land plant, chamaemelum nobile,  marguerite daisy, chrysanths 6000x4000 - -",https://pxhere.com/en/photo/594937,https://get.pxhere.com/photo/plant-field-flower-petal-summer-daisy-botany-yellow-flora-background-daisies-beautiful-floristry-flower-meadow-flowering-plant-daisy-family-yellow-daisies-oxeye-daisy-daisy-field-annual-plant-land-plant-chamaemelum-nobile-marguerite-daisy-chrysanths-594937.jpg,snbdrdgfwbnu,"26/10/2021, 14:50:14"
12,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32d3f32bda7c09e41b44d1be9147c2fc7c2a7b34c29852aab8.jpeg,pixabay.com,Daisies Yellow Flower - Free photo on Pixabay,https://pixabay.com/photos/daisies-yellow-flower-blossom-1494001/,https://cdn.pixabay.com/photo/2016/07/02/23/39/daisies-1494001_1280.jpg,tpzjbwsgptgb,"26/10/2021, 14:50:19"
13,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32d3f32bda7c09e41ba6072b80fd55883306fe0a820f2954c4.jpeg,pxfuel.com,"mushroom, nature, macro, margeriten, moss, fungus, vegetable, plant, food,  growth | Pxfuel",https://www.pxfuel.com/en/free-photo-xvhql,https://p1.pxfuel.com/preview/832/139/739/mushroom-nature-macro-margeriten-moss.jpg,lzpmeapwnsum,"26/10/2021, 14:50:19"
14,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32d3f32bda7c09e41b003e3ea7eb6cb18db087071801119f2c.jpeg,commons.wikimedia.org,File:Margeriten 24 Juni 2007.JPG - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Margeriten_24_Juni_2007.JPG,https://upload.wikimedia.org/wikipedia/commons/0/06/Margeriten_24_Juni_2007.JPG,wjwvwpvluphh,"26/10/2021, 14:50:19"
15,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32d3f32bda7c09e41bc9750b321df03a77297f45fca497f5da.jpeg,pixabay.com,1.000+ kostenlose Margeriten und Natur-Bilder - Pixabay,https://pixabay.com/de/images/search/margeriten/,https://cdn.pixabay.com/photo/2018/02/27/07/36/nature-3184889__340.jpg,ofgljdabtghn,"26/10/2021, 14:50:20"
16,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32d3f32bda7c09e41b6288d40c8d53ef31eecf5822e80e0d81.jpeg,piqsels.com,lizenzfreie Margeriten-Gänseblümchen-Blume-Fotos | Piqsels,https://www.piqsels.com/de/search?q=Margeriten-G%C3%A4nsebl%C3%BCmchen-Blume&page=2,https://p2.piqsels.com/preview/643/910/326/marguerite-flower-bee-nature-thumbnail.jpg,mgtcdhbdrijv,"26/10/2021, 14:50:20"
17,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32d3f32bda7c09e41b89ea36a18cd9e8c8fc266ef76dfc15f9.jpeg,flickr.com,Seerosen-Teich | Margeriten oder Gänseblumen. | Manfred Nowag | Flickr,https://www.flickr.com/photos/manfrednowag/48229221496/,https://live.staticflickr.com/65535/48229221496_9d4da408e7_b.jpg,utyghsaotmwa,"26/10/2021, 14:50:20"
18,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32d3f32bda7c09e41ba769b18de7a61ca01ffb27551933511c.jpeg,hippopx.com,"Free photo: daisies, summer, white, meadow, summer meadow | Hippopx",https://www.hippopx.com/en/daisies-summer-white-meadow-summer-meadow-447549,https://i0.hippopx.com/photos/703/279/734/daisies-leucanthemum-flower-white-preview.jpg,fcbljqsndcei,"26/10/2021, 14:50:21"
19,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32d3f32bda7c09e41bd503a0b1f11e2d5f10ef689c8da2c225.jpeg,commons.wikimedia.org,"File:Ruhland, Grenzstr. 3, Wollkrautblütenkäfer auf Wiesen-Margeriten-Blüte,  Frühsommer, 01.jpg - Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Ruhland,_Grenzstr._3,_Wollkrautbl%C3%BCtenk%C3%A4fer_auf_Wiesen-Margeriten-Bl%C3%BCte,_Fr%C3%BChsommer,_01.jpg",https://upload.wikimedia.org/wikipedia/commons/f/f6/Ruhland%2C_Grenzstr._3%2C_Wollkrautbl%C3%BCtenk%C3%A4fer_auf_Wiesen-Margeriten-Bl%C3%BCte%2C_Fr%C3%BChsommer%2C_01.jpg,ktczikucydcr,"26/10/2021, 14:50:21"
20,https://serpapi.com/searches/6177f97e1e803f458dfc46c2/images/8b3732715fb10d32d3f32bda7c09e41b55c794a2e27afc3127a04bedd3973378.png,verbformen.com,"Declension Margerite (oxeye daisy, …) | All forms, plural, translation,  definition, downloads, voice output",https://www.verbformen.com/declension/nouns/Margerite.htm,https://www.verbformen.com/declension/nouns/Margerite.png,mqggafjpmfdz,"26/10/2021, 14:50:22"
21,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTugpU1tNe4YvrYWphljmR_O-ycrEiWJ9_7A&usqp=CAU,pixabay.com,1.000+ kostenlose Margeriten und Natur-Bilder - Pixabay,https://pixabay.com/de/images/search/margeriten/,https://cdn.pixabay.com/photo/2020/05/28/19/01/daisies-5232284__340.jpg,ljioalocnimr,"26/10/2021, 14:50:22"
22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEFPCjPnAdTw4ICNSOQ9FdYJJYjAOStMhz_w&usqp=CAU,flickr.com,Die Fliege auf der Margerite | Die Margeriten (Leucanthemum)… | Flickr,https://www.flickr.com/photos/tobi_digital/31808246740,https://live.staticflickr.com/616/31808246740_da4cb1016b_b.jpg,rfnrjpchywxu,"26/10/2021, 14:50:22"
23,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBhfrt2D59vjqMpmDGIaTvTNfAFT2Jce84fQ&usqp=CAU,commons.wikimedia.org,"File:Ruhland, Grenzstr. 3, Wollkrautblütenkäfer auf Wiesen-Margeriten-Blüte,  Frühsommer, 03.jpg - Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Ruhland,_Grenzstr._3,_Wollkrautbl%C3%BCtenk%C3%A4fer_auf_Wiesen-Margeriten-Bl%C3%BCte,_Fr%C3%BChsommer,_03.jpg",https://upload.wikimedia.org/wikipedia/commons/7/7a/Ruhland%2C_Grenzstr._3%2C_Wollkrautbl%C3%BCtenk%C3%A4fer_auf_Wiesen-Margeriten-Bl%C3%BCte%2C_Fr%C3%BChsommer%2C_03.jpg,rhoznxsxclox,"26/10/2021, 14:50:22"
24,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRh5jepNFLUtdUm09rq8fGLEvlIw7e_GsfxVA&usqp=CAU,pixnio.com,"Imagen gratis: naturaleza macro, luz natural, flora, Pétalo, jardín, flor,  verano",https://pixnio.com/es/plantas/flores/naturaleza-macro-luz-natural-flora-petalo-jardin-flor-verano,https://pixnio.com/free-images/2017/11/17/2017-11-17-14-03-05.jpg,elpbuabygqxv,"26/10/2021, 14:50:23"
25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQO9j9k70rLda95aL3cyH3Ay52ft9frR-YAkA&usqp=CAU,pxhere.com,"Fotos gratis : césped, campo, prado, hierba, flora, flor silvestre, Flores,  Asteraceae, planta floreciendo, Familia de la margarita, Camuflaje pagado,  Leucanthemum vulgare, Planta anual, Planta de tierra, Chamaemelum nobile,  Margarita margarita, Tanacetum",https://pxhere.com/es/photo/930033,https://get.pxhere.com/photo/grass-plant-field-lawn-meadow-flower-daisy-herb-flora-wildflower-flowers-asteraceae-flowering-plant-daisy-family-paid-feverfew-leucanthemum-vulgare-oxeye-daisy-annual-plant-land-plant-chamaemelum-nobile-marguerite-daisy-tanacetum-parthenium-daisy-basket-flower-greenhouse-meadows-daisies-930033.jpg,fzuieiifaxjf,"26/10/2021, 14:50:24"
26,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuxfZ45HTA5hwfVxJ5CPUTl2gxQ5TEymA6qQ&usqp=CAU,pixabay.com,Margeriten Blumen Blumenwiese - Kostenloses Foto auf Pixabay,https://pixabay.com/de/photos/margeriten-blumen-blumenwiese-6341599/,https://cdn.pixabay.com/photo/2021/06/16/15/33/daisies-6341599_1280.jpg,bknreunjezvq,"26/10/2021, 14:50:44"
27,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJpGicgi8QU7pi09kUC_9tlZmWXkNBCzwHJg&usqp=CAU,piqsels.com,Seite 5 | lizenzfreie Margeriten-Gänseblümchen-Blume-Fotos | Piqsels,https://www.piqsels.com/de/search?q=Margeriten-G%C3%A4nsebl%C3%BCmchen-Blume&page=6,https://p2.piqsels.com/preview/748/399/611/m-white-flower-flower-in-grass-summer-thumbnail.jpg,ufpjmmxouhik,"26/10/2021, 14:50:45"
28,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnNvuMoYGyjBSKzbyjG7j6E3iq0y6EACXUPg&usqp=CAU,flickr.com,Gelbe Margeriten | ✓ Marco Verch is a Professional Photograp… | Flickr,https://www.flickr.com/photos/149561324@N03/41041413364,https://live.staticflickr.com/947/41041413364_f2865d215e_b.jpg,qgsgpnuetssk,"26/10/2021, 14:50:46"
29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrWAyxCUrGNUBT53TRnqX5PVNLh1320xQGMQ&usqp=CAU,commons.wikimedia.org,File:Margeriten1.jpg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Margeriten1.jpg,https://upload.wikimedia.org/wikipedia/commons/7/74/Margeriten1.jpg,nmthyabdualn,"26/10/2021, 14:50:46"
30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx6EBEk_JRJsB11UrkHl8o62b5-2pcUOlxRg&usqp=CAU,pxfuel.com,Página 28 | Fotos color blanco rosa libres de regalías | Pxfuel,https://www.pxfuel.com/es/search?q=color+blanco+rosa&page=28,https://p1.pxfuel.com/preview/11/175/673/winter-aster-flower-plant-aster.jpg,jaqnqdkylyjb,"26/10/2021, 14:50:46"
31,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTA98l4l1Vc9Z8yo1By2LoM3U4GbdcZk0BWlQ&usqp=CAU,vorderstrasse.de,Mühle auf Texel mit Margeritenfeld,https://www.vorderstrasse.de/fotos/details/muehle-auf-texel-mit-margeritenfeld/11757/-/,https://www.vorderstrasse.de/muehle-auf-texel-mit-margeritenfeld_59841c3e9bf03f01cf06858a32a5df61_l.jpg,gjudqgwymntp,"26/10/2021, 14:50:46"
32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5OS_Vd6oufxztAZl_JCnZhLtl8_fBvVCZ9Q&usqp=CAU,publicdomainpictures.net,Kamille Blume Vintage gemalt Kostenloses Stock Bild - Public Domain Pictures,https://www.publicdomainpictures.net/de/view-image.php?image=386303&picture=kamille-blume-vintage-gemalt,https://www.publicdomainpictures.net/pictures/390000/nahled/kamille-blume-vintage-gemalt.jpg,evsdsvdwthgb,"26/10/2021, 14:50:47"
33,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxvpmj5V4bnZJidzTHlNupg1DVMK-GNKZ0jA&usqp=CAU,pxhere.com,"Fotos gratis : naturaleza, césped, campo, prado, pétalo, primavera,  botánica, flora, flor silvestre, Flores, de cerca, Margaritas, Prado de  flores, Fotografía macro, planta floreciendo, Familia de la margarita,  Planta de tierra, Chamaemelum",https://pxhere.com/es/photo/935132,https://get.pxhere.com/photo/nature-grass-plant-field-meadow-flower-petal-daisy-spring-botany-flora-wildflower-flowers-close-up-daisies-flower-meadow-macro-photography-flowering-plant-daisy-family-oxeye-daisy-land-plant-chamaemelum-nobile-marguerite-daisy-935132.jpg,ysincotupzgl,"26/10/2021, 14:50:48"
34,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQg8pTvedGNqKaKn9Nbwk8aebkHAiMq7uXsDQ&usqp=CAU,st.museum-digital.de,Mohn und Margeriten in einer Vase :: Harzmuseum Wernigerode :: Ressource ::  museum-digital:sachsen-anhalt,https://st.museum-digital.de/singleimage.php?imagenr=150581,https://assets.museum-digital.org/san/images/7/71167-k_2804/mohn_und_margeriten_in_ei/mohn-und-margeriten-in-einer-vase-71167.jpg,joxobradmake,"26/10/2021, 14:51:02"
35,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEdMZBSM_CLSNHZ2vTVQgsKmUe7SdY7-YSLQ&usqp=CAU,hippopx.com,"Foto livre: margaridas, Verão, Branco, Prado, Prado de verão | Hippopx",https://www.hippopx.com/pt/daisies-summer-white-meadow-summer-meadow-447549,https://i0.hippopx.com/photos/988/65/236/wild-daisies-daisies-meadow-spring-preview.jpg,yvrkgfyilzsm,"26/10/2021, 14:51:02"
36,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT17GcIp6YZ-NQeCxKOD12v-KeABGidUKRzmQ&usqp=CAU,pixabay.com,Meadow Daisies Strauss - Free photo on Pixabay,https://pixabay.com/photos/meadow-daisies-strauss-nature-4284253/,https://cdn.pixabay.com/photo/2019/06/19/07/56/meadow-4284253_1280.jpg,ljpjnqfirpqr,"26/10/2021, 14:51:02"
37,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-JHkVBF4LNAXICxcZpIfb1U1cC1JL973nOQ&usqp=CAU,flickr.com,Margeriten | 52½ of 2009 - Week 21 Theme: zoom blur / motion… | Flickr,https://www.flickr.com/photos/macblack/3557623298/,https://live.staticflickr.com/3350/3557623298_1392a79b73_c.jpg,gxlplwrrpxkh,"26/10/2021, 14:51:03"
38,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQG6Mk9KEkUM9lh9RNM2B7YDGCqpkK1oyZY5Q&usqp=CAU,pixnio.com,"Imagen gratis: naturaleza, hoja, flor, flora, Pétalo, jardín, verano",https://pixnio.com/es/plantas/flores/flores-silvestres/naturaleza-hoja-flor-flora-petalo-jardin-verano,https://pixnio.com/free-images/2017/11/17/2017-11-17-14-02-20-550x367.jpg,xvjxaqrncnja,"26/10/2021, 14:51:03"
39,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfNkLT3101nZ14G1VvWmLhPx8bTuW1s5CR3A&usqp=CAU,piqsels.com,Page 57 | royalty free flower daisy photos free download | Piqsels,https://www.piqsels.com/en/search?q=flower+daisy&page=58,https://p0.piqsels.com/preview/392/512/39/daisies-two-flowers-white-thumbnail.jpg,kerpcompuhiy,"26/10/2021, 14:51:04"
40,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9wOy2DabfOlQhvpNJ_DRsDRXwSxo2YUm9uQ&usqp=CAU,commons.wikimedia.org,"File:Ruhland, Grenzstr. 3, Sandgoldwespe (Hedychrum rutilans) auf Margeriten-Blüte,  Spätfrühling, 02.jpg - Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Ruhland,_Grenzstr._3,_Sandgoldwespe_%28Hedychrum_rutilans%29_auf_Margeriten-Bl%C3%BCte,_Sp%C3%A4tfr%C3%BChling,_02.jpg",https://upload.wikimedia.org/wikipedia/commons/3/35/Ruhland%2C_Grenzstr._3%2C_Sandgoldwespe_%28Hedychrum_rutilans%29_auf_Margeriten-Bl%C3%BCte%2C_Sp%C3%A4tfr%C3%BChling%2C_02.jpg,csxutjhtutiq,"26/10/2021, 14:51:04"
41,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJJmExbx2zp6ag-vOMqttDD4cDRJt_0F8zvw&usqp=CAU,publicdomainpictures.net,Daisy Flower Under The Sun Free Stock Photo - Public Domain Pictures,https://www.publicdomainpictures.net/en/view-image.php?image=150112&picture=daisy-flower-under-the-sun,https://www.publicdomainpictures.net/pictures/160000/nahled/daisy-flower-under-the-sun.jpg,nvxkznjtiton,"26/10/2021, 14:51:05"
42,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGWO0BNFIK7tNM7EQQns5rqSIElGzt5ZMNAw&usqp=CAU,pxfuel.com,Página 36 | Fotos colores rosa y amarillo libres de regalías | Pxfuel,https://www.pxfuel.com/es/search?q=colores+rosa+y+amarillo&page=36,https://p1.pxfuel.com/preview/355/816/880/daisies-flower-blossom-bloom.jpg,gqoysrggaubl,"26/10/2021, 14:51:06"
43,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSdxKIk9e_qNWjGR3MDlzrTk4PGEtiVrc5Gw&usqp=CAU,piqsels.com,"pobūdį, bornholmer margeriten, gėlė, augalų, gėlės, vasara, margherito  augalas, žydintys augalai | Piqsels",https://www.piqsels.com/lt/public-domain-photo-jaoum,https://p0.piqsels.com/preview/809/951/710/nature-bornholmer-mageriten-flower-plant.jpg,ysjbocqycntn,"26/10/2021, 14:51:06"
44,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfzRNVhbMdW8CZhnTG6XGRdUGf09kSGAWIsw&usqp=CAU,pixabay.com,Margeriten Blumen Garten - Kostenloses Foto auf Pixabay,https://pixabay.com/de/photos/margeriten-blumen-garten-natur-5212890/,https://cdn.pixabay.com/photo/2020/05/24/08/03/daisies-5212890_1280.jpg,qgnhzvqiejre,"26/10/2021, 14:51:06"
45,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjxZRd7hH1f0po4LXFceHYr_si6vP2kBXs2A&usqp=CAU,hippopx.com,"Kostenloses Foto: Blumen, weiß, gelb, Unkraut, Grün, Nogiku keine Haka,  Natur | Hippopx",https://www.hippopx.com/de/flowers-white-yellow-weed-green-nogiku-no-haka-nature-377676,https://i0.hippopx.com/photos/858/742/545/flowers-white-yellow-weed-preview.jpg,bxeytzdspfih,"26/10/2021, 14:51:06"
46,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDnY8f43opy_Ss1OazIiiVml4g0BJTsBYngA&usqp=CAU,flickr.com,Margeriten | Fotocredit: Katholische Kirche Vorarlberg / Cha… | Flickr,https://www.flickr.com/photos/kath-kirche-vorarlberg/41775397890,https://live.staticflickr.com/921/41775397890_8b3764d1cc_b.jpg,cawgotdhesoy,"26/10/2021, 14:51:06"
47,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTX-JuPpAPW2PP35X8VcXLm84fDjXe5p_B8A&usqp=CAU,pxhere.com,"무료 이미지 : 잔디, 화이트, 들, 목초지, 여름, 봄, 식물학, 플로라, 야생화, 야생의 꽃, 꽃 피는 식물, 데이지 가족, 스텐  겔, 꽃 줄기, Oxeye 데이지, 연간 공장, 육상 식물, 무명의, 마가렛 데이지,",https://pxhere.com/ko/photo/724375,https://get.pxhere.com/photo/grass-plant-white-field-lawn-meadow-flower-bloom-summer-daisy-spring-herb-botany-flora-wildflower-wild-flowers-daisies-flowering-plant-daisy-family-stengel-flower-stem-oxeye-daisy-annual-plant-land-plant-chamaemelum-nobile-marguerite-daisy-tanacetum-parthenium-garden-cosmos-724375.jpg,wvvftavxhimg,"26/10/2021, 14:51:08"
48,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTblYdyokUCVtckMV3Ud0497OmfwN2f03fsBA&usqp=CAU,commons.wikimedia.org,"File:Ruhland, Grenzstr. 3, Wollkrautblütenkäfer auf Wiesen-Margeriten-Blüte,  Frühsommer, 04.jpg - Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Ruhland,_Grenzstr._3,_Wollkrautbl%C3%BCtenk%C3%A4fer_auf_Wiesen-Margeriten-Bl%C3%BCte,_Fr%C3%BChsommer,_04.jpg",https://upload.wikimedia.org/wikipedia/commons/7/73/Ruhland%2C_Grenzstr._3%2C_Wollkrautbl%C3%BCtenk%C3%A4fer_auf_Wiesen-Margeriten-Bl%C3%BCte%2C_Fr%C3%BChsommer%2C_04.jpg,aptradfodhel,"26/10/2021, 14:51:33"
49,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnvntmxeqrwOJgvu1vYepo1kCNeedHuqqsfQ&usqp=CAU,publicdomainpictures.net,雏菊心复古免费图片- Public Domain Pictures,https://www.publicdomainpictures.net/cn/view-image.php?image=333899&picture=,https://www.publicdomainpictures.net/pictures/340000/nahled/ganseblumchen-herz-vintage.jpg,mywqshduybci,"26/10/2021, 14:51:34"
50,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJAFD2muJieyCWD3LzunLL2fi8qQdxJmxc2Q&usqp=CAU,pixabay.com,1.000+ kostenlose Margeriten und Natur-Bilder - Pixabay,https://pixabay.com/de/images/search/margeriten/,https://cdn.pixabay.com/photo/2018/05/24/04/25/cape-marguerites-3425824__340.jpg,zwlykeupplyl,"26/10/2021, 14:51:35"
51,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgtJsuMP4C7Bd8bzmPejkuqWJLE4Lnak1kng&usqp=CAU,piqsels.com,lizenzfreie Margeriten-Gänseblümchen-Blume-Fotos | Piqsels,https://www.piqsels.com/de/search?q=Margeriten-G%C3%A4nsebl%C3%BCmchen-Blume,https://p2.piqsels.com/preview/647/179/758/hand-flower-plant-daisy-thumbnail.jpg,vehqgznolewy,"26/10/2021, 14:51:35"
52,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt8fLHf6v0QhKPwcvH06VxNmaKH2s23PRegA&usqp=CAU,pxfuel.com,Página 39 | Fotos animal manchado libres de regalías | Pxfuel,https://www.pxfuel.com/es/search?q=animal+manchado&page=39,https://p1.pxfuel.com/preview/523/140/1015/ladybug-macro-nature-margeriten-the-garden-coccinella-septempunctata.jpg,swuiyjtgdfwj,"26/10/2021, 14:51:35"
53,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-XXCYfw6ypHag7scQCqNWTDmbmzHppRn_Vg&usqp=CAU,picryl.com,Adolf Kaufmann Sonnenblumen im Vorgarten 1904 - PICRYL Public Domain Search,https://picryl.com/media/adolf-kaufmann-sonnenblumen-im-vorgarten-1904-dba785,https://cdn2.picryl.com/photo/1904/12/31/adolf-kaufmann-sonnenblumen-im-vorgarten-1904-dba785-1024.jpg,hrgxoafgbexj,"26/10/2021, 14:51:35"
